Date;Close
31/10/2025;39.42
31/10/2024;34.93
31/10/2023;27.98
31/10/2022;27.39
31/08/2023;29.31
31/08/2022;28.23
31/08/2021;29.21
31/07/2025;37.24
31/07/2024;34.23
31/07/2023;29.58
31/05/2024;32.84
31/05/2023;28.21
31/05/2022;28.08
31/05/2021;27.37
31/03/2025;34.90
31/03/2023;27.69
31/03/2022;29.64
31/03/2021;27.06
31/01/2025;37.71
31/01/2024;31.25
31/01/2023;27.67
31/01/2022;29.36
30/12/2025;39.36
30/12/2024;36.53
30/12/2022;26.59
30/12/2021;30.73
30/12/2020;25.51
30/11/2023;29.48
30/11/2022;27.76
30/11/2021;29.92
30/10/2025;39.53
30/10/2024;35.40
30/10/2023;27.82
30/09/2025;38.08
30/09/2024;34.81
30/09/2022;26.68
30/09/2021;28.77
30/08/2024;34.33
30/08/2023;29.14
30/08/2022;28.34
30/08/2021;29.18
30/07/2025;37.16
30/07/2024;33.80
30/07/2021;28.60
30/06/2025;35.78
30/06/2023;28.90
30/06/2022;26.65
30/06/2021;28.34
30/05/2025;35.60
30/05/2024;32.97
30/05/2023;28.33
30/05/2022;28.24
30/04/2025;33.84
30/04/2024;32.44
30/04/2021;27.38
30/03/2023;27.48
30/03/2022;29.63
30/03/2021;26.98
30/01/2026;39.81
30/01/2025;37.42
30/01/2024;31.30
30/01/2023;27.65
29/12/2025;39.38
29/12/2023;30.58
29/12/2022;26.67
29/12/2021;30.61
29/12/2020;25.51
29/11/2024;36.87
29/11/2023;29.37
29/11/2022;27.66
29/11/2021;30.14
29/10/2025;39.49
29/10/2024;35.62
29/10/2021;29.74
29/09/2025;38.13
29/09/2023;28.90
29/09/2022;26.55
29/09/2021;28.75
29/08/2025;37.21
29/08/2024;34.31
29/08/2023;29.15
29/08/2022;28.65
29/07/2025;37.05
29/07/2024;33.83
29/07/2022;28.72
29/07/2021;28.73
29/06/2023;28.76
29/06/2022;26.84
29/06/2021;28.36
29/05/2025;35.62
29/05/2024;33.02
29/05/2023;28.41
29/04/2025;33.88
29/04/2024;32.53
29/04/2022;28.84
29/04/2021;27.39
29/03/2023;27.37
29/03/2022;29.76
29/03/2021;26.87
29/02/2024;32.11
29/01/2026;39.60
29/01/2025;37.38
29/01/2024;31.26
29/01/2021;25.49
28/12/2023;30.50
28/12/2022;26.60
28/12/2021;30.74
28/12/2020;25.42
28/11/2025;39.30
28/11/2024;36.69
28/11/2023;29.30
28/11/2022;27.74
28/10/2025;39.38
28/10/2024;35.48
28/10/2022;27.30
28/10/2021;29.61
28/09/2023;28.70
28/09/2022;27.09
28/09/2021;28.62
28/08/2025;37.32
28/08/2024;34.08
28/08/2023;28.90
28/07/2025;36.93
28/07/2023;29.58
28/07/2022;28.55
28/07/2021;28.68
28/06/2024;34.10
28/06/2023;28.65
28/06/2022;27.03
28/06/2021;28.26
28/05/2025;35.72
28/05/2024;33.22
28/05/2021;27.50
28/04/2025;33.76
