date;close
11/12/2020;24.915
14/12/2020;25.04
15/12/2020;25.03
16/12/2020;25.155
17/12/2020;25.215
18/12/2020;25.145
21/12/2020;24.96
22/12/2020;25.095
23/12/2020;25.215
28/12/2020;25.405
29/12/2020;25.47
30/12/2020;25.48
04/01/2021;25.265
05/01/2021;25.375
06/01/2021;25.55
07/01/2021;25.595
08/01/2021;25.82
11/01/2021;25.92
12/01/2021;25.915
13/01/2021;25.97
14/01/2021;26.075
15/01/2021;25.885
18/01/2021;25.96
19/01/2021;26.005
20/01/2021;26.25
21/01/2021;26.235
22/01/2021;26.05
25/01/2021;26.035
26/01/2021;26.135
27/01/2021;25.82
28/01/2021;25.82
29/01/2021;25.42
01/02/2021;25.69
02/02/2021;26.155
03/02/2021;26.16
04/02/2021;26.355
05/02/2021;26.43
08/02/2021;26.485
09/02/2021;26.485
10/02/2021;26.415
11/02/2021;26.55
12/02/2021;26.61
15/02/2021;26.76
16/02/2021;26.685
17/02/2021;26.63
18/02/2021;26.46
19/02/2021;26.545
22/02/2021;26.3
23/02/2021;26.13
24/02/2021;26.27
25/02/2021;26.06
26/02/2021;25.855
01/03/2021;26.3
02/03/2021;26.2
03/03/2021;26.155
04/03/2021;26.03
05/03/2021;25.805
08/03/2021;26.32
09/03/2021;26.425
10/03/2021;26.47
11/03/2021;26.635
12/03/2021;26.54
15/03/2021;26.645
16/03/2021;26.855
17/03/2021;26.735
18/03/2021;26.745
19/03/2021;26.625
22/03/2021;26.68
23/03/2021;26.71
24/03/2021;26.655
25/03/2021;26.59
26/03/2021;26.785
29/03/2021;26.895
30/03/2021;26.99
31/03/2021;27.075
01/04/2021;27.2
06/04/2021;27.37
07/04/2021;27.2
08/04/2021;27.315
09/04/2021;27.345
12/04/2021;27.33
13/04/2021;27.365
14/04/2021;27.395
15/04/2021;27.495
16/04/2021;27.575
19/04/2021;27.435
20/04/2021;27.14
21/04/2021;27.27
22/04/2021;27.435
23/04/2021;27.39
26/04/2021;27.46
27/04/2021;27.405
28/04/2021;27.395
29/04/2021;27.37
30/04/2021;27.37
03/05/2021;27.425
04/05/2021;27.195
05/05/2021;27.45
06/05/2021;27.37
07/05/2021;27.57
10/05/2021;27.475
11/05/2021;27.04
12/05/2021;26.935
13/05/2021;26.92
14/05/2021;27.12
17/05/2021;27.06
18/05/2021;27.095
19/05/2021;26.73
20/05/2021;26.975
21/05/2021;27.135
25/05/2021;27.26
26/05/2021;27.305
27/05/2021;27.39
28/05/2021;27.51
31/05/2021;27.37
01/06/2021;27.445
02/06/2021;27.56
03/06/2021;27.565
04/06/2021;27.645
07/06/2021;27.625
08/06/2021;27.635
09/06/2021;27.68
10/06/2021;27.715
11/06/2021;27.865
14/06/2021;27.88
15/06/2021;27.89
16/06/2021;27.92
17/06/2021;28.14
18/06/2021;27.885
21/06/2021;27.925
22/06/2021;28.02
23/06/2021;28.015
24/06/2021;28.14
25/06/2021;28.235
28/06/2021;28.225
29/06/2021;28.35
30/06/2021;28.34
01/07/2021;28.355
02/07/2021;28.49
05/07/2021;28.57
06/07/2021;28.475
07/07/2021;28.61
08/07/2021;28.265
09/07/2021;28.545
12/07/2021;28.62
13/07/2021;28.72
14/07/2021;28.68
15/07/2021;28.61
16/07/2021;28.54
19/07/2021;28.115
20/07/2021;28.365
21/07/2021;28.535
22/07/2021;28.675
23/07/2021;28.815
26/07/2021;28.775
27/07/2021;28.455
28/07/2021;28.66
29/07/2021;28.705
30/07/2021;28.585
02/08/2021;28.695
03/08/2021;28.66
04/08/2021;28.77
05/08/2021;28.88
06/08/2021;28.965
09/08/2021;29.04
10/08/2021;29.075
11/08/2021;29.105
12/08/2021;29.1
13/08/2021;29.085
16/08/2021;28.98
17/08/2021;29.015
18/08/2021;29.035
19/08/2021;28.795
20/08/2021;28.895
23/08/2021;29.04
24/08/2021;29.145
25/08/2021;29.115
26/08/2021;29.05
27/08/2021;29.085
30/08/2021;29.26
31/08/2021;29.235
01/09/2021;29.195
02/09/2021;29.285
03/09/2021;29.27
06/09/2021;29.395
07/09/2021;29.31
08/09/2021;29.19
09/09/2021;29.2
10/09/2021;29.135
13/09/2021;29.12
14/09/2021;29.06
15/09/2021;28.995
16/09/2021;29.08
17/09/2021;29.02
20/09/2021;28.59
21/09/2021;28.72
22/09/2021;28.865
23/09/2021;29.03
24/09/2021;29.01
27/09/2021;28.98
28/09/2021;28.59
29/09/2021;28.76
30/09/2021;28.735
01/10/2021;28.58
04/10/2021;28.36
05/10/2021;28.715
06/10/2021;28.515
07/10/2021;29.015
08/10/2021;28.895
11/10/2021;28.98
12/10/2021;28.86
13/10/2021;28.795
14/10/2021;29.155
15/10/2021;29.35
18/10/2021;29.33
19/10/2021;29.445
20/10/2021;29.505
21/10/2021;29.435
22/10/2021;29.475
25/10/2021;29.615
26/10/2021;29.77
27/10/2021;29.685
28/10/2021;29.6
29/10/2021;29.75
01/11/2021;29.805
02/11/2021;29.9
03/11/2021;29.895
04/11/2021;30.13
05/11/2021;30.285
08/11/2021;30.23
09/11/2021;30.15
10/11/2021;30.23
11/11/2021;30.285
12/11/2021;30.44
15/11/2021;30.51
16/11/2021;30.695
17/11/2021;30.69
18/11/2021;30.545
19/11/2021;30.66
22/11/2021;30.765
23/11/2021;30.445
24/11/2021;30.63
25/11/2021;30.715
26/11/2021;29.89
29/11/2021;30.14
30/11/2021;29.875
01/12/2021;30.17
02/12/2021;29.765
03/12/2021;29.695
06/12/2021;29.89
07/12/2021;30.52
08/12/2021;30.34
09/12/2021;30.415
10/12/2021;30.31
13/12/2021;30.23
14/12/2021;30.055
15/12/2021;30.05
16/12/2021;30.36
17/12/2021;30.19
20/12/2021;29.655
21/12/2021;30.015
22/12/2021;30.23
23/12/2021;30.495
27/12/2021;30.645
28/12/2021;30.805
29/12/2021;30.65
30/12/2021;30.715
03/01/2022;30.715
04/01/2022;30.765
05/01/2022;30.735
06/01/2022;30.335
07/01/2022;30.125
10/01/2022;29.975
11/01/2022;30.21
12/01/2022;30.35
13/01/2022;30.28
14/01/2022;29.96
17/01/2022;30.145
18/01/2022;29.845
19/01/2022;29.765
20/01/2022;29.955
21/01/2022;29.465
24/01/2022;28.545
25/01/2022;28.73
26/01/2022;29.18
27/01/2022;29.24
28/01/2022;29.035
31/01/2022;29.395
01/02/2022;29.59
02/02/2022;29.675
03/02/2022;29.23
04/02/2022;28.955
07/02/2022;29.095
08/02/2022;29.185
09/02/2022;29.47
10/02/2022;29.38
11/02/2022;29.19
14/02/2022;28.95
15/02/2022;29.175
16/02/2022;29.11
17/02/2022;29.035
18/02/2022;28.77
21/02/2022;28.58
22/02/2022;28.545
23/02/2022;28.42
24/02/2022;28.03
25/02/2022;28.7
28/02/2022;28.84
01/03/2022;28.81
02/03/2022;28.935
03/03/2022;28.87
04/03/2022;28.67
07/03/2022;28.535
08/03/2022;28.08
09/03/2022;28.33
10/03/2022;28.14
11/03/2022;28.375
14/03/2022;28.04
15/03/2022;28.215
16/03/2022;28.745
17/03/2022;28.755
18/03/2022;29.155
21/03/2022;29.235
22/03/2022;29.47
23/03/2022;29.435
24/03/2022;29.425
25/03/2022;29.47
28/03/2022;29.555
29/03/2022;29.72
30/03/2022;29.645
31/03/2022;29.635
01/04/2022;29.565
04/04/2022;29.87
05/04/2022;29.875
06/04/2022;29.405
07/04/2022;29.355
08/04/2022;29.59
11/04/2022;29.245
12/04/2022;29.345
13/04/2022;29.265
14/04/2022;29.375
19/04/2022;29.345
20/04/2022;29.355
21/04/2022;29.33
22/04/2022;28.85
25/04/2022;28.455
26/04/2022;28.48
27/04/2022;28.655
28/04/2022;28.775
29/04/2022;28.88
02/05/2022;28.36
03/05/2022;28.665
04/05/2022;28.39
05/05/2022;28.38
06/05/2022;28.075
09/05/2022;27.475
10/05/2022;27.31
11/05/2022;27.655
12/05/2022;27.53
13/05/2022;28.005
16/05/2022;27.925
17/05/2022;28.02
18/05/2022;27.735
19/05/2022;27.365
20/05/2022;27.305
23/05/2022;27.495
24/05/2022;27.005
25/05/2022;27.41
26/05/2022;27.71
27/05/2022;28.125
30/05/2022;28.255
31/05/2022;28.1
01/06/2022;28.03
02/06/2022;28.04
03/06/2022;27.98
06/06/2022;28.185
07/06/2022;28.11
08/06/2022;28.115
09/06/2022;27.935
10/06/2022;27.34
13/06/2022;26.73
14/06/2022;26.56
15/06/2022;26.74
16/06/2022;26.085
17/06/2022;26.15
20/06/2022;26.21
21/06/2022;26.43
22/06/2022;26.355
23/06/2022;26.49
24/06/2022;26.93
27/06/2022;27.025
28/06/2022;27.015
29/06/2022;26.85
30/06/2022;26.635
01/07/2022;26.795
04/07/2022;26.89
05/07/2022;26.85
06/07/2022;27.305
07/07/2022;27.695
08/07/2022;27.805
11/07/2022;27.66
12/07/2022;27.71
13/07/2022;27.395
14/07/2022;27.19
15/07/2022;27.57
18/07/2022;27.655
19/07/2022;27.66
20/07/2022;27.935
21/07/2022;27.985
22/07/2022;28.085
25/07/2022;28.045
26/07/2022;28.075
27/07/2022;28.275
28/07/2022;28.545
29/07/2022;28.79
01/08/2022;28.775
02/08/2022;28.815
03/08/2022;29.005
04/08/2022;28.925
05/08/2022;28.86
08/08/2022;29.05
09/08/2022;28.81
10/08/2022;28.945
11/08/2022;29.115
12/08/2022;29.315
15/08/2022;29.485
16/08/2022;29.61
17/08/2022;29.455
18/08/2022;29.615
19/08/2022;29.43
22/08/2022;29.255
23/08/2022;29.155
24/08/2022;29.205
25/08/2022;29.34
26/08/2022;29.03
29/08/2022;28.605
30/08/2022;28.34
31/08/2022;28.2
01/09/2022;28.005
02/09/2022;28.29
05/09/2022;28.18
06/09/2022;28.09
07/09/2022;28.025
08/09/2022;28.285
09/09/2022;28.445
12/09/2022;28.61
13/09/2022;28.235
14/09/2022;28.125
15/09/2022;27.975
16/09/2022;27.545
19/09/2022;27.61
20/09/2022;27.555
21/09/2022;27.8
22/09/2022;27.32
23/09/2022;27.065
26/09/2022;27.075
27/09/2022;27.01
28/09/2022;27.065
29/09/2022;26.565
30/09/2022;26.67
03/10/2022;26.685
04/10/2022;27.155
05/10/2022;27.07
06/10/2022;27.2
07/10/2022;26.78
10/10/2022;26.67
11/10/2022;26.46
12/10/2022;26.455
13/10/2022;26.41
14/10/2022;26.44
17/10/2022;26.615
18/10/2022;26.74
19/10/2022;26.785
20/10/2022;26.795
21/10/2022;26.64
24/10/2022;26.73
25/10/2022;27.025
26/10/2022;27.14
27/10/2022;27.11
28/10/2022;27.34
31/10/2022;27.38
01/11/2022;27.405
02/11/2022;27.345
03/11/2022;27.12
04/11/2022;26.985
07/11/2022;27.07
08/11/2022;27.27
09/11/2022;27.075
10/11/2022;27.57
11/11/2022;27.58
14/11/2022;27.605
15/11/2022;27.78
16/11/2022;27.485
