date;close
04/05/2006;67.48
05/05/2006;67.99
08/05/2006;67.56
09/05/2006;69.68
10/05/2006;70.38
11/05/2006;71.029999
12/05/2006;71.12
15/05/2006;67.41
16/05/2006;68.61
17/05/2006;68.15
18/05/2006;67.46
19/05/2006;65.58
22/05/2006;65.3
23/05/2006;66.38
24/05/2006;64.059998
25/05/2006;64.7
26/05/2006;65.099998
30/05/2006;65.11
31/05/2006;64.23
01/06/2006;62.56
02/06/2006;63.5
05/06/2006;63.29
06/06/2006;62.55
07/06/2006;62.28
08/06/2006;60.91
09/06/2006;60.45
12/06/2006;60.029999
13/06/2006;55.92
14/06/2006;55.62
15/06/2006;57.32
16/06/2006;57.68
19/06/2006;56.36
20/06/2006;57.3
21/06/2006;58.33
22/06/2006;57.73
23/06/2006;57.99
26/06/2006;58.28
27/06/2006;57.68
28/06/2006;57.54
29/06/2006;59.52
30/06/2006;61.23
03/07/2006;62.18
05/07/2006;62.5
06/07/2006;63.02
07/07/2006;62.63
10/07/2006;62.02
11/07/2006;63.81
12/07/2006;64.92
13/07/2006;65.55
14/07/2006;65.85
17/07/2006;63.95
18/07/2006;62.9
19/07/2006;64.029999
20/07/2006;62.54
21/07/2006;61.71
24/07/2006;61.14
25/07/2006;61.55
26/07/2006;62.0
27/07/2006;62.9
28/07/2006;63.11
31/07/2006;63.16
01/08/2006;64.32
02/08/2006;64.75
03/08/2006;64.12
04/08/2006;64.28
07/08/2006;64.5
08/08/2006;63.97
09/08/2006;64.63
10/08/2006;63.25
11/08/2006;62.71
14/08/2006;62.25
15/08/2006;62.0099983
16/08/2006;62.49
17/08/2006;61.029999
18/08/2006;61.040001
21/08/2006;62.44
22/08/2006;62.049999
23/08/2006;61.83
24/08/2006;61.75
25/08/2006;61.77
28/08/2006;61.0
29/08/2006;60.94
30/08/2006;61.42
31/08/2006;62.29
01/09/2006;62.14
05/09/2006;63.36
06/09/2006;62.86
07/09/2006;61.25
08/09/2006;60.64
11/09/2006;58.5
12/09/2006;58.32
13/09/2006;58.62
14/09/2006;57.19
15/09/2006;57.4
18/09/2006;58.23
19/09/2006;56.92
20/09/2006;57.26
21/09/2006;57.95
22/09/2006;58.5
25/09/2006;58.5
26/09/2006;58.74
27/09/2006;59.81
28/09/2006;59.79
29/09/2006;59.47
02/10/2006;59.15
03/10/2006;57.11
04/10/2006;56.37
05/10/2006;56.92
06/10/2006;56.99
09/10/2006;57.2
10/10/2006;57.0
11/10/2006;56.88
12/10/2006;57.49
13/10/2006;58.57
16/10/2006;59.17
17/10/2006;58.65
18/10/2006;58.59
19/10/2006;59.41
20/10/2006;58.78
23/10/2006;57.76
24/10/2006;58.17
25/10/2006;58.76
26/10/2006;59.29
27/10/2006;59.4
30/10/2006;59.9
31/10/2006;60.24
01/11/2006;61.36
02/11/2006;61.92
03/11/2006;62.3
06/11/2006;61.89
07/11/2006;62.040001
08/11/2006;61.11
09/11/2006;62.95
10/11/2006;62.49
13/11/2006;62.19
14/11/2006;61.63
15/11/2006;61.84
16/11/2006;61.31
17/11/2006;61.78
20/11/2006;61.77
21/11/2006;62.27
22/11/2006;62.5
24/11/2006;63.5
27/11/2006;63.7
28/11/2006;63.57
29/11/2006;63.16
30/11/2006;64.39
01/12/2006;64.12
04/12/2006;64.12
05/12/2006;63.81
06/12/2006;62.69
07/12/2006;62.73
08/12/2006;62.049999
11/12/2006;62.57
12/12/2006;62.52
13/12/2006;62.48
14/12/2006;62.12
15/12/2006;61.0
18/12/2006;61.040001
19/12/2006;61.8
